instance         | our makespan | microsec   | deviation from given makespans
j12031_1.sm      | 252          | 272200     | 12,50
j12031_10.sm     | 290          | 245900     | 11,97
j12031_2.sm      | 247          | 248000     | 16,51
j12031_3.sm      | 216          | 421200     | 8,00
j12031_4.sm      | 276          | 277200     | 12,65
j12031_5.sm      | 255          | 251900     | 9,44
j12031_6.sm      | 230          | 341500     | 11,65
j12031_7.sm      | 254          | 423400     | 7,17
j12031_8.sm      | 244          | 254900     | 10,41
j12031_9.sm      | 235          | 257100     | 11,90
j12032_1.sm      | 177          | 240700     | 11,32
j12032_10.sm     | 157          | 252100     | 7,53
j12032_2.sm      | 161          | 428800     | 8,05
j12032_3.sm      | 177          | 409000     | 7,93
j12032_4.sm      | 158          | 247300     | -0,63  New Best Makespan!
j12032_5.sm      | 172          | 231000     | 9,55
j12032_6.sm      | 156          | 234000     | 9,09
j12032_7.sm      | 150          | 227100     | 7,91
j12032_8.sm      | 161          | 247600     | 6,62
j12032_9.sm      | 151          | 250900     | 11,03
j12033_1.sm      | 125          | 218300     | 8,70
j12033_10.sm     | 125          | 232100     | 5,93
j12033_2.sm      | 139          | 234700     | 10,32
j12033_3.sm      | 128          | 238000     | 9,40
j12033_4.sm      | 138          | 233600     | 8,66
j12033_5.sm      | 170          | 243700     | 6,25
j12033_6.sm      | 142          | 372800     | 12,70
j12033_7.sm      | 145          | 375200     | 5,84
j12033_8.sm      | 137          | 392100     | 12,30
j12033_9.sm      | 134          | 225800     | 5,51
j12034_1.sm      | 87           | 214600     | -1,14  New Best Makespan!
j12034_10.sm     | 111          | 269400     | 4,72
j12034_2.sm      | 119          | 380000     | 3,48
j12034_3.sm      | 119          | 371500     | 5,31
j12034_4.sm      | 102          | 328600     | -3,77  New Best Makespan!
j12034_5.sm      | 123          | 227100     | 11,82
j12034_6.sm      | 109          | 210300     | -4,39  New Best Makespan!
j12034_7.sm      | 116          | 216700     | 2,65
j12034_8.sm      | 103          | 349800     | 6,19
j12034_9.sm      | 111          | 379300     | 6,73
j12035_1.sm      | 87           | 381500     | 0,00
j12035_10.sm     | 88           | 374400     | 2,33
j12035_2.sm      | 124          | 406500     | 2,48
j12035_3.sm      | 89           | 212800     | 7,23
j12035_4.sm      | 110          | 345300     | 3,77
j12035_5.sm      | 109          | 210400     | 6,86
j12035_6.sm      | 88           | 209100     | 2,33
j12035_7.sm      | 99           | 219000     | 0,00
j12035_8.sm      | 106          | 217000     | 4,95
j12035_9.sm      | 106          | 205000     | 9,28
j12036_1.sm      | 254          | 249200     | 8,55
j12036_10.sm     | 253          | 294100     | 7,66
j12036_2.sm      | 270          | 258300     | 10,20
j12036_3.sm      | 269          | 435800     | 6,75
j12036_4.sm      | 291          | 263900     | 9,40
j12036_5.sm      | 280          | 247900     | 8,11
j12036_6.sm      | 276          | 249600     | 7,39
j12036_7.sm      | 254          | 442800     | 9,48
j12036_8.sm      | 213          | 263100     | 10,36
j12036_9.sm      | 263          | 256900     | 3,54
j12037_1.sm      | 176          | 259500     | 11,39
j12037_10.sm     | 157          | 249400     | 9,79
j12037_2.sm      | 172          | 380900     | 9,55
j12037_3.sm      | 165          | 418500     | 8,55
j12037_4.sm      | 192          | 234900     | 8,47
j12037_5.sm      | 241          | 245400     | 6,64
j12037_6.sm      | 192          | 344900     | 3,23
j12037_7.sm      | 189          | 353600     | 6,18
j12037_8.sm      | 211          | 472600     | 4,98
j12037_9.sm      | 169          | 242300     | 8,33
j12038_1.sm      | 125          | 214200     | 5,93
j12038_10.sm     | 163          | 229500     | 7,95
j12038_2.sm      | 144          | 238300     | 7,46
j12038_3.sm      | 179          | 355900     | 6,55
j12038_4.sm      | 163          | 235900     | 5,84
j12038_5.sm      | 134          | 232000     | 8,94
j12038_6.sm      | 144          | 239400     | 9,92
j12038_7.sm      | 120          | 342900     | 3,45
j12038_8.sm      | 147          | 342200     | 6,52
j12038_9.sm      | 157          | 336800     | 8,28
j12039_1.sm      | 107          | 367900     | 3,88
j12039_10.sm     | 131          | 309300     | 10,08
j12039_2.sm      | 125          | 318400     | 4,17
j12039_3.sm      | 133          | 236300     | 9,02
j12039_4.sm      | 114          | 502500     | 8,57
j12039_5.sm      | 113          | 229800     | 6,60
j12039_6.sm      | 106          | 266500     | 9,28
j12039_7.sm      | 121          | 314400     | 6,14
j12039_8.sm      | 117          | 231800     | 10,38
j12039_9.sm      | 111          | 1133100    | 11,00
j1203_1.sm       | 90           | 568600     | 5,88
j1203_10.sm      | 103          | 200800     | 0,00
j1203_2.sm       | 91           | 401800     | 3,41
j1203_3.sm       | 100          | 329800     | -0,99  New Best Makespan!
j1203_4.sm       | 72           | 324400     | -11,11  New Best Makespan!
j1203_5.sm       | 85           | 341000     | -2,30  New Best Makespan!
j1203_6.sm       | 102          | 234500     | 0,00
j1203_7.sm       | 97           | 347300     | 1,04
j1203_8.sm       | 89           | 333600     | 14,10
j1203_9.sm       | 86           | 213200     | 0,00
j12040_1.sm      | 91           | 220400     | 3,41
j12040_10.sm     | 96           | 208800     | 0,00
j12040_2.sm      | 100          | 228000     | 6,38
j12040_3.sm      | 99           | 211600     | 4,21
j12040_4.sm      | 112          | 213000     | 0,00
j12040_5.sm      | 105          | 210300     | 1,94
j12040_6.sm      | 90           | 217900     | 0,00
j12040_7.sm      | 91           | 208400     | 0,00
j12040_8.sm      | 107          | 318500     | 10,31
j12040_9.sm      | 125          | 419900     | 6,84
j12041_1.sm      | 144          | 229500     | 10,77
j12041_10.sm     | 164          | 228600     | 6,49
j12041_2.sm      | 156          | 234800     | 9,86
j12041_3.sm      | 168          | 232500     | 15,07
j12041_4.sm      | 134          | 237400     | 8,94
j12041_5.sm      | 148          | 233800     | 7,25
j12041_6.sm      | 131          | 307200     | 8,26
j12041_7.sm      | 131          | 330000     | 13,91
j12041_8.sm      | 157          | 328900     | 6,08
j12041_9.sm      | 136          | 233500     | 1,49
j12042_1.sm      | 128          | 225300     | 14,29
j12042_10.sm     | 137          | 230700     | 11,38
j12042_2.sm      | 129          | 360800     | 2,38
j12042_3.sm      | 125          | 348000     | 17,92
j12042_4.sm      | 120          | 330700     | 7,14
j12042_5.sm      | 134          | 328600     | 8,94
j12042_6.sm      | 131          | 329800     | 7,38
